Country,"2 013,00","2 014,00","2 015,00","2 016,00","2 017,00","2 018,00","2 019,00","2 020,00","2 021,00","2 022,00","2 023,00"
Geneva Population,"474 211,00","482 544,00","490 578,00","493 706,00","498 221,00","501 748,00","506 765,00","508 774,00","511 921,00","517 802,00","524 379,00"
Suisses,"281 137,00","283 091,00","288 595,00","293 586,00","297 764,00","300 741,00","304 053,00","303 953,00","304 144,00","303 737,00","306 288,00"
Europe,"141 310,00","146 380,00","147 580,00","146 054,00","146 091,00","146 435,00","147 151,00","148 129,00","149 217,00","153 831,00","155 750,00"
Allemagne,"4 910,00","4 960,00","4 900,00","4 719,00","4 553,00","4 477,00","4 411,00","4 352,00","4 344,00","4 256,00","4 163,00"
Autriche,"799,00","803,00","791,00","778,00","774,00","761,00","755,00","754,00","747,00","735,00","730,00"
Belgique,"2 224,00","2 316,00","2 365,00","2 342,00","2 348,00","2 299,00","2 279,00","2 296,00","2 303,00","2 346,00","2 301,00"
Danemark,"407,00","418,00","434,00","425,00","424,00","403,00","387,00","415,00","414,00","397,00","393,00"
Espagne,"14 338,00","14 969,00","15 169,00","15 113,00","15 057,00","15 190,00","15 339,00","15 474,00","15 731,00","16 032,00","16 438,00"
Finlande,"467,00","460,00","484,00","470,00","478,00","459,00","453,00","429,00","423,00","406,00","395,00"
France,"27 241,00","29 361,00","30 620,00","30 953,00","32 091,00","33 079,00","34 086,00","35 162,00","36 056,00","36 736,00","37 778,00"
Grèce,"1 212,00","1 309,00","1 384,00","1 426,00","1 489,00","1 545,00","1 587,00","1 634,00","1 640,00","1 688,00","1 701,00"
Irlande,"661,00","673,00","667,00","636,00","637,00","634,00","655,00","659,00","694,00","717,00","760,00"
Italie,"20 519,00","21 059,00","20 952,00","20 754,00","20 625,00","20 549,00","20 692,00","20 692,00","20 717,00","20 811,00","20 954,00"
Luxembourg,"124,00","115,00","129,00","124,00","130,00","122,00","130,00","122,00","135,00","141,00","140,00"
Pays-Bas,"1 734,00","1 738,00","1 714,00","1 681,00","1 641,00","1 658,00","1 644,00","1 627,00","1 583,00","1 581,00","1 547,00"
Portugal,"36 529,00","37 388,00","37 074,00","36 292,00","35 508,00","34 885,00","34 051,00","33 324,00","32 697,00","31 953,00","31 270,00"
Royaume-Uni ,"7 343,00","7 393,00","7 299,00","7 023,00","6 957,00","6 918,00","6 854,00","6 783,00","6 589,00","6 429,00","6 222,00"
Suède,"938,00","927,00","930,00","889,00","905,00","883,00","859,00","869,00","865,00","869,00","904,00"
Chypre,"47,00","61,00","65,00","79,00","83,00","93,00","94,00","107,00","121,00","141,00","144,00"
Estonie,"124,00","131,00","143,00","147,00","158,00","159,00","167,00","156,00","159,00","167,00","163,00"
Hongrie,"704,00","794,00","800,00","771,00","769,00","800,00","753,00","730,00","712,00","713,00","723,00"
Lettonie,"149,00","170,00","188,00","201,00","212,00","224,00","230,00","249,00","260,00","250,00","252,00"
Lituanie,"167,00","171,00","188,00","197,00","203,00","214,00","222,00","221,00","232,00","241,00","244,00"
Malte,"36,00","37,00","47,00","59,00","72,00","84,00","88,00","95,00","92,00","88,00","88,00"
Pologne,"1 350,00","1 406,00","1 483,00","1 492,00","1 523,00","1 533,00","1 551,00","1 605,00","1 556,00","1 576,00","1 578,00"
Slovaquie,"310,00","346,00","369,00","372,00","364,00","350,00","346,00","346,00","323,00","305,00","303,00"
République tchèque,"344,00","370,00","380,00","375,00","360,00","364,00","365,00","340,00","336,00","339,00","335,00"
Slovénie,"95,00","95,00","114,00","122,00","142,00","147,00","153,00","159,00","170,00","163,00","167,00"
Bulgarie,"574,00","593,00","563,00","558,00","565,00","558,00","561,00","586,00","598,00","647,00","644,00"
Roumanie,"1 235,00","1 360,00","1 374,00","1 452,00","1 632,00","1 764,00","1 893,00","2 022,00","2 133,00","2 178,00","2 262,00"
Croatie,"338,00","336,00","333,00","301,00","294,00","291,00","293,00","306,00","321,00","334,00","345,00"
Islande,"44,00","52,00","46,00","45,00","46,00","47,00","43,00","39,00","48,00","36,00","37,00"
Liechtenstein,"30,00","30,00","29,00","26,00","24,00","21,00","23,00","26,00","28,00","26,00","24,00"
Norvège,"373,00","365,00","356,00","361,00","373,00","358,00","352,00","345,00","333,00","322,00","338,00"
Albanie,"241,00","237,00","236,00","236,00","250,00","270,00","296,00","303,00","337,00","378,00","385,00"
Andorre,"10,00","9,00","10,00","10,00","8,00","9,00","8,00","9,00","10,00","10,00","10,00"
Bélarus,"192,00","194,00","191,00","178,00","169,00","154,00","152,00","147,00","147,00","143,00","136,00"
Bosnie-Herzégovine,"977,00","978,00","935,00","877,00","839,00","811,00","801,00","799,00","786,00","779,00","771,00"
Macédoine,"760,00","774,00","800,00","793,00","775,00","775,00","782,00","830,00","873,00","895,00","910,00"
Moldova,"152,00","154,00","143,00","133,00","130,00","131,00","141,00","140,00","150,00","154,00","160,00"
Monaco,"5,00",( ),"9,00","8,00","6,00","7,00","6,00","5,00","7,00","8,00","7,00"
Russie,"3 785,00","3 808,00","3 743,00","3 579,00","3 463,00","3 321,00","3 287,00","3 229,00","3 086,00","3 113,00","3 092,00"
Saint-Marin,"5,00","5,00",( ),( ),( ),( ),( ),"0,00","6,00","6,00","6,00"
Turquie,"2 211,00","2 242,00","2 259,00","2 227,00","2 213,00","2 203,00","2 252,00","2 323,00","2 544,00","2 908,00","3 311,00"
Ukraine,"810,00","872,00","901,00","873,00","853,00","849,00","893,00","898,00","936,00","4 502,00","5 069,00"
Vatican,( ),( ),( ),( ),( ),( ),( ),( ),-,-,-
Rép. fédérale de Yougoslavie,-,-,-,-,-,-,-,-,-,-,"5,00"
Kosovo,"4 720,00","5 214,00","5 573,00","5 643,00","5 690,00","5 819,00","6 045,00","6 364,00","6 815,00","7 149,00","7 383,00"
Monténegro,"58,00","57,00","58,00","59,00","51,00","48,00","52,00","51,00","53,00","48,00","48,00"
Serbie,"1 260,00","1 233,00","1 233,00","1 195,00","1 156,00","1 122,00","1 094,00","1 087,00","1 097,00","1 107,00","1 114,00"
Serbie-Monténegro,"755,00","388,00","91,00","52,00","43,00","39,00","18,00","12,00","10,00","8,00",-
